Site,Quadrat,Height,Latitude,Longitude,Day,Month,Year,Slope,Aspect,Substrate,Relief,Observer,Species Code,Square,Measurement,Measurement Type,Group,Classification,Size,Distinctive trait,Common name,Vocabulary,Unique Identifier,Name,CATAMI Unique Identifier,CATAMI Name,CATAMI Version
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,SEBA,8,3,Percent Cover,Crustaceans,Semobalanus balanoides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,SEBA,20,1,Percent Cover,Crustaceans,Semobalanus balanoides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,SEBA,23,1,Percent Cover,Crustaceans,Semobalanus balanoides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,SEBA,24,1,Percent Cover,Crustaceans,Semobalanus balanoides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,CLCI,1,1,Percent Cover,Red Algal Crusts,Clathromorphum circumscriptum,NA,"layers, smooth and thick",NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,CLCI,3,1,Percent Cover,Red Algal Crusts,Clathromorphum circumscriptum,NA,"layers, smooth and thick",NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,CLCI,5,1,Percent Cover,Red Algal Crusts,Clathromorphum circumscriptum,NA,"layers, smooth and thick",NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,CLCI,20,1,Percent Cover,Red Algal Crusts,Clathromorphum circumscriptum,NA,"layers, smooth and thick",NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,CLCI,23,1,Percent Cover,Red Algal Crusts,Clathromorphum circumscriptum,NA,"layers, smooth and thick",NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,CLCI,24,1,Percent Cover,Red Algal Crusts,Clathromorphum circumscriptum,NA,"layers, smooth and thick",NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,CLCI,25,1,Percent Cover,Red Algal Crusts,Clathromorphum circumscriptum,NA,"layers, smooth and thick",NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,PHLE,1,0.1,Percent Cover,Red Algal Crusts,Phymatolithon lenormandii,NA,"pale pink crust, bumpy/pitted",NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,PHLE,3,0.1,Percent Cover,Red Algal Crusts,Phymatolithon lenormandii,NA,"pale pink crust, bumpy/pitted",NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,PHLE,21,1,Percent Cover,Red Algal Crusts,Phymatolithon lenormandii,NA,"pale pink crust, bumpy/pitted",NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,PHLE,22,0.1,Percent Cover,Red Algal Crusts,Phymatolithon lenormandii,NA,"pale pink crust, bumpy/pitted",NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,CABO,15,1,Count,Crustaceans,Cancer borealis,NA,rounded shell,Jonah Crab,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,CF,1,1,Count,Gastropods,Crepidula fornicata,NA,"whitish, brown markings, off-center apex",Slipper Snail,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,CF,2,2,Count,Gastropods,Crepidula fornicata,NA,"whitish, brown markings, off-center apex",Slipper Snail,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,CF,3,2,Count,Gastropods,Crepidula fornicata,NA,"whitish, brown markings, off-center apex",Slipper Snail,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,CF,4,2,Count,Gastropods,Crepidula fornicata,NA,"whitish, brown markings, off-center apex",Slipper Snail,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,CF,6,2,Count,Gastropods,Crepidula fornicata,NA,"whitish, brown markings, off-center apex",Slipper Snail,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,CF,7,2,Count,Gastropods,Crepidula fornicata,NA,"whitish, brown markings, off-center apex",Slipper Snail,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,CF,8,2,Count,Gastropods,Crepidula fornicata,NA,"whitish, brown markings, off-center apex",Slipper Snail,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,CF,9,2,Count,Gastropods,Crepidula fornicata,NA,"whitish, brown markings, off-center apex",Slipper Snail,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,LILI,2,1,Count,Gastropods,Littorina littorea,NA,Common winkle,Periwinkle Snail,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,LILI,3,2,Count,Gastropods,Littorina littorea,NA,Common winkle,Periwinkle Snail,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,LILI,4,2,Count,Gastropods,Littorina littorea,NA,Common winkle,Periwinkle Snail,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,LILI,5,2,Count,Gastropods,Littorina littorea,NA,Common winkle,Periwinkle Snail,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,LILI,6,1,Count,Gastropods,Littorina littorea,NA,Common winkle,Periwinkle Snail,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,LILI,7,1,Count,Gastropods,Littorina littorea,NA,Common winkle,Periwinkle Snail,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,LILI,8,1,Count,Gastropods,Littorina littorea,NA,Common winkle,Periwinkle Snail,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,LILI,18,1,Count,Gastropods,Littorina littorea,NA,Common winkle,Periwinkle Snail,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,LILI,23,1,Count,Gastropods,Littorina littorea,NA,Common winkle,Periwinkle Snail,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,1,4,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,2,4,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,3,4,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,4,2,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,5,2,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,6,4,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,7,4,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,9,3,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,10,4,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,11,4,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,12,4,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,13,4,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,14,4,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,15,4,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,16,4,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,17,4,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,18,4,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,19,4,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,20,4,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,21,4,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,22,4,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,23,4,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,24,3,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,MYED,25,4,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,BOVI,5,2,Percent Cover,Tunicates,Botrylloides violaceus,NA,"orange, thin, fleshy",orange sheath tunicate,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,BOVI,6,1,Percent Cover,Tunicates,Botrylloides violaceus,NA,"orange, thin, fleshy",orange sheath tunicate,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,BOVI,10,2,Percent Cover,Tunicates,Botrylloides violaceus,NA,"orange, thin, fleshy",orange sheath tunicate,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,BOVI,15,1,Percent Cover,Tunicates,Botrylloides violaceus,NA,"orange, thin, fleshy",orange sheath tunicate,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,BOVI,19,3,Percent Cover,Tunicates,Botrylloides violaceus,NA,"orange, thin, fleshy",orange sheath tunicate,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,BOVI,21,2,Percent Cover,Tunicates,Botrylloides violaceus,NA,"orange, thin, fleshy",orange sheath tunicate,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,SCLO,3,2,Percent Cover,Erect Red Algae,Scytosiphon lomentaria,NA,cluster of thin tubes,NA,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,SCLO,6,1,Percent Cover,Erect Red Algae,Scytosiphon lomentaria,NA,cluster of thin tubes,NA,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,SCLO,11,3,Percent Cover,Erect Red Algae,Scytosiphon lomentaria,NA,cluster of thin tubes,NA,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,SCLO,12,3,Percent Cover,Erect Red Algae,Scytosiphon lomentaria,NA,cluster of thin tubes,NA,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,SCLO,13,2,Percent Cover,Erect Red Algae,Scytosiphon lomentaria,NA,cluster of thin tubes,NA,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,SCLO,15,1,Percent Cover,Erect Red Algae,Scytosiphon lomentaria,NA,cluster of thin tubes,NA,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,SCLO,17,1,Percent Cover,Erect Red Algae,Scytosiphon lomentaria,NA,cluster of thin tubes,NA,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,SCLO,24,1,Percent Cover,Erect Red Algae,Scytosiphon lomentaria,NA,cluster of thin tubes,NA,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,SEBA,1,1,Percent Cover,Crustaceans,Semobalanus balanoides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rainsford,6,Mid,42.313265,-70.950865,24,6,2021,4,60,Cobble,NA,Byrnes,SEBA,2,1,Percent Cover,Crustaceans,Semobalanus balanoides,NA,NA,NA,NA,NA,NA,NA,NA,NA
